fname,lname,age,sex,country
Mohamed,Ali,28,Male,Egypt
Ahmed,Hassan,32,Male,Egypt
Omar,Ibrahim,25,Male,Egypt
Youssef,Mahmoud,30,Male,Egypt
Adam,Khaled,22,Male,Jordan
John,Smith,35,Male,USA
Michael,Brown,29,Male,UK
David,Wilson,41,Male,Canada
Sarah,Johnson,27,Female,USA
Emma,Williams,31,Female,UK
Olivia,Davis,24,Female,Canada
Mariam,Samir,26,Female,Egypt
Nour,Fathy,33,Female,Egypt
Lina,Ahmad,29,Female,Jordan
Sofia,Garcia,36,Female,Spain
Carlos,Martinez,38,Male,Spain
Daniel,Lee,23,Male,South Korea
Anna,Muller,34,Female,Germany
James,Taylor,45,Male,Australia
Emily,Anderson,28,Female,Australia
fname,lname,age,sex,country
mohamed,elrfaay,26,male,Egypt
fname,lname,age,sex,country
mohamed,elrfaay,26,male,Egypt
